"QAINDEX";"CLINIC";"QUESTION";"ANSWER";"SNAPSHOT"
10;"中医科";"眼睛干涩耳鸣大脑不清醒易怒舌中苔燥黄怎么治疗";"你好，这种情况多长时间了？ 经常熬夜工作压力大吗 做过什么治疗吗 现在睡眠质量怎么样 都用过什么药？ 跟阴虚有热有关 吃过知柏地黄丸吗 舌苔照片看一下 舌胖边有齿痕中间有裂跟脾虚阴虚有关 归脾丸配合知柏地黄丸 跟脾虚有关 消化怎么样 平时多吃莲子山药芡实健脾益气利湿 所以知柏地黄丸比较适合你现在的情况 不要熬夜适当增加运动清淡饮食有助于你的症状改善 眼睛干涩可能跟用眼过度有关 有肝郁的可能性，你需要调整情绪 熬夜对肝脏的损害比较大 小柴胡颗粒可以用于寒热往来、胸胁苦满、心烦喜吐、口苦咽干。 如果有这些症状的话可以用 可以吃五子衍宗丸 热重的话，加味逍遥丸比较好 清热作用好 你得自己学会调整情绪 气有余便是火 可以，加味逍遥丸疏肝健脾养血清热的作用 可以一起吃，没有相克的 不要熬夜适当增加运动清淡饮食有助于你的症状改善 还有要调整好情绪 怀孕多久了，这种情况需要查个尿常规 看看有没有饥饿性酮体 原则是吐了也得吃，没有特别好的止呕药物 呕吐太严重的话需要到医院就诊，补充营养 一直吃，多少能留下点 是严重呕吐不进食的严重情况，需要到医院就诊治疗，所以原则就是吐了就吃吃，还吐还吃，严重的乏力不舒服就到医院就诊";2020/3/19
11;"中医科";"婴儿将近两个月阴部有红色疙瘩怎么处理";"你好，这种情况有多久了？有没有什么不舒服的？ 孩子现在多大？穿开裆裤？ 卡介苗化脓了这是正常反应但是要注意不要去戳破等他自然溃破结痂留下疤痕就好了消息感染 小心感染 外阴的问题一是考虑尿不湿过敏二是如果有穿开裆裤的话就不要穿了考虑感染 每一批次的纸尿裤也会有差别的加上现在春天天气闷热也容易过敏 换一个牌子或者先抹点红霉素软膏 这种是很温和的了新生儿都可以用的 嗯嗯不客气早点休息";2020/3/19
12;"中医科";"服用避孕药几天后后又内射但是有出血";"你好，请问您吃的是紧急避孕药吗？ 出血多不多 是在出血的时候同房的吗 例假啥时候来的 多上天来一次 月经周期规律吗 那你现在差不多正是排卵期 排卵期后两三天 但是你有出血，可以不用再吃避孕药了 不大的 很可能是撤退性出血 三到七天左右 为什么连着吃避孕药 不建议口服避孕药避孕 避孕药对身体伤害挺大的 容易造成月经失调，异常出血等 优思悦没事，我说的是紧急避孕药 是的，不大 不用担心 可能会推迟，也可能正常来 不好说 嗯，很快就代谢了 不客气的 没事的 以后做好避孕措施 嗯，因为你现在还是出血期 不客气的";2020/3/19
13;"中医科";"不消化脾胃不好是不是不消化脾胃不好的表现";"你好，能拍个比较清楚的图片看看嘛？ 请问你会有什么不舒服呢 肚子会不会胀，大便会不会烂烂的不成型？ 具体描述一下 单纯从舌苔来看，是有一些湿气的问题 有做过胃镜吗 或者幽门螺旋杆菌检查 三餐规律饮食吗？有没有熬夜之类的？会不会吃得比较辛辣刺激 这一些会比较凉一些 结合你的舌苔和症状，是有一些胃肠功能紊乱的问题了 首先自己注意饮食，三餐规律饮食，不要吃辛辣刺激的，不要熬夜 然后我建议你吃点参苓白术散 平时多吃一些山药薏米小米粥 没办法缓解的话，就吃点西药 吗丁啉可以吃 主要还是跟肠道消化有关 熬夜之类的才伤肝 我刚给你的所有建议都是除湿的啊 嗯，如果没办法缓解，疫情过后去做个检查吧 胃镜，幽门螺旋杆菌检查 没有 主要考虑还是胆汁反流的问题，胃动力相关 放平心态 不要熬夜最重要 那没必要类，自己放平心态 这是两个事情 咽痛你可以考虑吃点胖大海没错，胃的问题，你就吃胃药 吗丁啉作用不明显的话，你加上奥美拉唑，铝碳酸镁 嗯，目前我考虑还是胃食管反流问题 不会的安心 放平心态 早点休息吧 不客气。后续有其他问题可以再沟通";2020/3/19
14;"中医科";"我平时饭量较小，但是很胖，怎样调理...";"你好，胖与饮食有关，但并非唯一相关。中年女性容易发胖。这是需要调整饮食结构，避免高热量食物。适当增加运动，保持心情舒畅。";2020/3/19
15;"中医科";"阴茎勃起时间短做爱中途疲软硬度不够尿急怎么办";"你好这样症状多久了？ 检查过吗？ 治疗了吗？ 后面复查了没 你这个 考虑还是前列腺液 前列腺炎没完全好 建议有空去复查一下 不麻烦 30min出结果 前列腺炎会影响性功能 是的 几十块 不贵的 这个你要去问问 吃中药调理也可以 这个一般是慢性炎症 有点脾虚不化 看下舌下情况 还有点瘀堵 病的时间长了 就是这样 我刚不是说了 肯定有啊 我说第二遍 前列腺炎会影响性功能 你先去检查 看是不是前列腺炎 还得明确是哪种 再辩证用药 我说要检查过后 要是有细菌感染 用西药肯定快一点 没有的话 就用中药 这样说 明白了吗？ 非细菌性 和无症状性 细菌性还分急性和慢性 所以我要你去检查 慢性的治的慢 这个是滴白和尿液浑浊 所以你这些表现很接近前列腺炎表现";2020/3/19
16;"中医科";"睡眠不好经期容易闹肚子可以中药调理吗";"您好，请问类似症状出现多长时间了？ 有没有痛经呢？量，色咋么样呢？有血块吗？ 哦，有点肝郁气滞血瘀。 我看看舌苔 哦，量还是挺多的。 有一点点湿气 哦，有没有口苦口苦呢？头晕头痛呢？饮食如何呢？ 嗯，因为经期，你现在处于血虚阶段，血不养心，难以入睡。 这属于经期反应。有点肝郁，原则上是经期不用药物干预的。 你可以熬水喝，柴胡10克，当归20克，白芍10克，桂枝10克丹参10克，甘草6克生姜大枣引子2付，水煎服，每日一付，一付三次。 还可以熬生姜，红糖水喝 还可以艾灸小腹，肚脐 中成药：吃柴胡疏肝丸和附子理中丸 不用的， 吃中成药：就这个两个就可以的，中药的话就光喝中药。 选择其中的一种就可以。 平时忌口辛辣刺激食物和寒凉食物，注意保暖腹部，不熬夜，避风寒，保持二便通畅通。加强锻炼身体健康。 嗯嗯，是的 就这经期吃 可以提前2天吃。 月经来的前2-3吃 先看看效果如何呢？再加上艾灸小腹，肚脐， 一般平时没事吧。 那属于血虚，脑供血不足。 平时可以熬水喝葛根，川芎，丹参。 要是没问题，欢迎您给我一个“满意”评价（评价按钮在页面右上角，问题关闭后页面下面也可评价）。春雨系统会自动赠送您一张复诊优惠券。";2020/3/19
17;"中医科";"龟头是有小红点";"有没有图片发过来确诊？ 有没有瘙痒？刺痛等不适？ 有没有不洁性交史？ 包皮长不长？ 看看平常的照片 包皮的 包皮太长了 感染了 嗯 是的 没有不洁性生活 就不会 不是 可以治疗 看到了 看到了 是的 可以 百多邦外涂 不严重 看到了 嗯 一周 别怕 我是吴海波医生，如果您需要再次咨询，可以找到过往咨询记录，点击我的头像进入主页进行咨询。若头像不能点击，请向客服反馈。祝您身体健康。 问题已经解答完毕，如有疑问可以再次追问哈！要是没问题，欢迎您给我一个“满意”评价，评价页面因系统版本的不同而不同，一般问题关闭后显示评价按钮，您的“满意”是对我的支持和鼓励。 都可以";2020/3/19
18;"中医科";"接吻的时候就射精了怎么回事";"你好，你这种情况有多久了？ 插进阴道多久射精？有没有自卑感，社交恐惧？ 除了上述的药，用过中药吗 必利劲还有再吃吗 这是中成药 我问一下基本情况 有无腰部酸痛，头晕眼花，全身乏力，尿频尿不尽，容易出汗，活动后加重，怕冷，手脚发凉等症状 有没有口干口渴，手心脚心出汗发热，阴囊潮湿？夜间盗汗？ 还有检查单吗 前三张看不清楚 有几张不清楚 有前列腺炎 在私立医院还是公立医院做的？ 应该是私立的 以后治疗最好在公立医院 人民医院或者中医院男科 看不清楚 有没有心情紧张，或者心情低落，口苦，眼干眼涩，胸胁胀痛，易燥易怒等？ 睡眠怎么样，入睡难吗，胃口怎么样，有腹胀嗳气反酸吗，小便黄吗，大便成型吗？粘便池吗？ 绝大部分私立医院都是莆田系，尤其是妇产，男科医院 发一张舌头的照片给我看看吧 可以尝试中药调理一下，补肾固精，坚持一段时间，效果不错的 舌红苔厚 有湿热 最好是吃汤剂或者颗粒剂 可以兼顾前列腺炎一起治疗 如果能吃中药，我给你开一个方子 是的 山药15山萸肉15枸杞子15泽泻12桑葚12黄精15黄芪12沙苑子12金樱子12稻根12菟丝子12白芍15益智仁12生地12丹皮12煅龙骨30煅牡蛎30七付，水煎服，每日一付，早晚分服，按时吃药，吃完复诊！ 去药店直接抓药就行 一副药，熬两次，早晚各服一次 不客气 是的，到时候复诊";2020/3/19
19;"中医科";"月经量特别小,每次来就三天";"你好，这种情况多久啦？ 我看看你的舌苔照片可以吗？ 可以吃中药调理 检查过子宫内膜厚度吗 从舌苔看是脾虚，气血虚 你平时容易着急生气吗？ 我问清楚症状，在对症开药 晚上睡觉好不好？ 月经周期是否正常？ 有没有淤血块？ 来例假有没有肚子痛？ 身上有劲没有 来例假有没有腰酸腰痛？ 吃中药调理过吗 中成药吃过吗 可以的 你性生活规律吗 有几个孩子 有没有流产史 有没有心烦？ 性欲低下，卵巢功能衰退 我建议你查性激素六项，月经第二天去化验 和你流产两次有关系，损伤到子宫内膜了 可以口服八珍颗粒，益母草颗粒 是中成药 不是的，月经第二天化验 不是月经干净后两天 来例假后，第二天早上就空腹抽血化验 可以的 不过需要长时间服用 你这个年龄月经量少，和卵巢功能衰退有关系 晚上用艾叶红花生姜水泡脚 是的，在月经期间查，是抽血化验，不需要从阴道检查 别着急生气，别熬夜劳累，保持心情舒畅，睡眠充足，注意经期保暖，不要吃生冷硬食物";2020/3/19
20;"中医科";"阴虚火旺吃什么药最好";"你好，请问你有什么症状吗？ 您在哪个省份 是不想睡，还是睡不着 有盗汗吗 嗯 阴虚火旺是个慢性的过程 睡觉做梦吗 我觉得目前您主要问题是失眠 失眠解决了，所有症状就会缓解 现在心情放松了吗 知道结果之后，睡眠时间长了吗 嗯，确实是很郁闷 体温多少 既然检测没问题，应该可以放心 36.7的体温没问题 没有呼吸道症状吧？ 嗯 镇静安眠的 那就问题不大，不要自己吓唬自己了 你越这样，抵抗力越差 没必要，一般的睡觉药就行 谁吃的？ 哪里买的？ 什么时候开始的？ 吃多久了 去医院系统看过吗 我不建议自己用这种药 应该去医院系统检查一下 然后再根据情况用药 对肝肾功能都不好 要根据化验来指导用药 我觉得您目前只是睡眠不足引起的不适，主要矛盾是睡眠不足，调理一下睡眠，应该就会缓解。";2020/3/19
21;"中医科";"宝宝半岁了这两天辅食不排便该怎么办？";"你好，请问孩子吃了2天不排便，是否还有其他表现，比如腹胀，哭闹等 嗯，那孩子是否有呕吐，或者腹泻呢 那孩子辅食吃了多久呢，是新加的么？ 那吃上以后大便是干是稀呢 那吃了以后大便怎样呢 嗯，那这样，可以试试用肥皂头涂涂孩子肛周，看看孩子是否能排便。然后可以吃点益生菌试试。比如布拉氏酵母菌，或者妈咪爱，同时可以揉揉肚子，热敷一下。如果孩子一直都是哭闹，那么最好去打一个肚子彩超看看 因为现在没有大便，判断不好到底是有便干拍不出来，还是食物吃的少没有便。所以可以安排刚才说的试试，如果不行，还是总闹，那么就去看看彩超 不客气 这个不针对便秘，就是调节肠道菌群的，辅食的话可以多吃蔬菜泥，水果泥等 孩子6个月，有点小，可以先饮食调整，大多数都是可以缓解的。如果不行，那么最好去医院看看，看看是否有其他原因，比如过敏因素或者其他外科原因 土豆，胡萝卜，芹菜，南瓜泥 一般来说6个月左右可以添加，这个分孩子，有的孩子4个多月，有的5个多月，还有6，7个月的 要整熟了啊 可以，或者整成泥 压成泥呗 还是多吃点苹果泥  正常苹果就可以，用勺子挎成泥啊 所以要整成泥，如果实在是怕硬，那么就买面的苹果 不客气 米粉可以吃点高铁的也行，或者少吃点，一点不吃多饿啊 嗯，也有可能是添加辅食太快了，可以一点一点添加";2020/3/19
22;"中医科";"额头发凉畏寒怕冷身体乏力怎么办";"您好您的情况有没有劳累着凉了？ 考虑感冒症状 嗯嗯 平时怕冷？ 可以平时多用温水泡脚 多吃温性食物 适当运动 建议完善动态心电图 嗯呢 可以服用桂附地黄丸 配合生脉丸 都是阳虚的表现 平时多用温水泡脚 这个温度还可以 正常体温不用担心 都在正常体温不用担心 没事的 感冒前驱症状 嗯呢 问题不大 可以熬点姜汤 嗯嗯 现在不用用药先观察 这个就是阳虚感冒 注意保暖注意休息";2020/3/19
23;"中医科";"月经量特别小,来到结束也就三天,吃啥药能让月经回复正常";"请问类似症状出现多长时间了？ 有其他不舒服症状吗？ 有调理过吗？ 有痛经吗？ 现在还不应该到年龄 如果没有其他症状考虑气血不足有关 可以考虑吃下八珍益母丸";2020/3/19
24;"中医科";"早晨吃饭出汗上班紧张身上后背热疼怎么回事";"你好还有其他症状吗？ 正在看 最近出汗好点没？ 吃了多久药了？ 出汗好点了？ 容易紧张，一紧张就出汗吗？ 体温正常的 嗯 手足心热吗？ 方便看看舌苔吗？ 拍个照片我看看 吃饭好不？ 脾虚有湿热 有热，有食积， 大便怎么样 平时脾胃功能弱 玉屏风颗粒喝了多久 这个的坚持喝 先调理脾胃 考虑现在有点着凉感冒 脾虚有湿 气虚容易出汗容易感冒 嗯嗯，是 睡前喝点葱白生姜水发发汗 吃点人参健脾丸健脾祛湿 先把脾胃调理好了，气血好了，身体好，抵抗力就增强了。 平时可以泡点玫瑰花疏肝解郁 还是气血虚，气虚不是 不是这次的病 调整心态，放轻松点";2020/3/19
